timestamp,msgr_recv_bytes,msgr_send_bytes,msgr_recv_messages,msgr_send_messages,mds_request,mds_reply,mds_reply_latency_s,getattr_latency_s,mkdir_latency_s,mds_journal_latency_s,objecter_op_latency_s,objecter_send_bytes,objecter_ops,mds_rss_bytes,mds_heap_bytes,sessions_open
"2025-11-04T12:47:22+00:00",12919286,12105795,32565,13250,120,120,0.004881361,0.000743695,0.002955372,3.59921755,0.471132326,1821710,6381,143928,352354304,2
"2025-11-04T12:47:24+00:00",12921674,12109249,32572,13254,120,120,0.004881361,0.000743695,0.002955372,3.59921755,0.471341798,1821800,6382,143928,352354304,2
"2025-11-04T12:47:24+00:00",12922092,12109249,32573,13254,120,120,0.004881361,0.000743695,0.002955372,3.59921755,0.471341798,1821800,6382,143928,352354304,2
"2025-11-04T12:47:34+00:00",12932458,12120949,32598,13261,120,120,0.004881361,0.000743695,0.002955372,3.587384799,0.471270063,1826686,6385,143928,352354304,2
"2025-11-04T12:47:35+00:00",12932956,12120949,32599,13261,120,120,0.004881361,0.000743695,0.002955372,3.587384799,0.471270063,1826686,6385,143928,352354304,2
"2025-11-04T12:47:35+00:00",12933374,12121589,32600,13262,120,120,0.004881361,0.000743695,0.002955372,3.587384799,0.471270063,1826686,6385,143928,352354304,2
"2025-11-04T12:47:45+00:00",12943506,12127681,32625,13268,120,120,0.004881361,0.000743695,0.002955372,3.587384799,0.471270063,1826686,6385,143928,352354304,2
"2025-11-04T12:47:46+00:00",12943506,12127681,32625,13268,120,120,0.004881361,0.000743695,0.002955372,3.587384799,0.471270063,1826686,6385,143928,352354304,2
"2025-11-04T12:47:46+00:00",12944004,12127681,32626,13268,120,120,0.004881361,0.000743695,0.002955372,3.587384799,0.471270063,1826686,6385,143928,352354304,2
"2025-11-04T12:47:56+00:00",12954398,12134689,32650,13273,120,120,0.004881361,0.000743695,0.002955372,3.587384799,0.471270063,1826686,6385,143928,352354304,2
"2025-11-04T12:47:56+00:00",12954398,12134689,32650,13273,120,120,0.004881361,0.000743695,0.002955372,3.587384799,0.471270063,1826686,6385,143928,352354304,2
"2025-11-04T12:47:57+00:00",12954896,12134689,32651,13273,120,120,0.004881361,0.000743695,0.002955372,3.587384799,0.471270063,1826686,6385,143928,352354304,2
"2025-11-04T12:48:07+00:00",12965526,12141325,32677,13280,120,120,0.004881361,0.000743695,0.002955372,3.587384799,0.471270063,1826686,6385,143928,352354304,2
"2025-11-04T12:48:07+00:00",12965526,12141325,32677,13280,120,120,0.004881361,0.000743695,0.002955372,3.587384799,0.471270063,1826686,6385,143928,352354304,2
"2025-11-04T12:48:08+00:00",12965526,12141325,32677,13280,120,120,0.004881361,0.000743695,0.002955372,3.587384799,0.471270063,1826686,6385,143928,352354304,2
"2025-11-04T12:48:18+00:00",12975728,12147085,32700,13284,120,120,0.004881361,0.000743695,0.002955372,3.587384799,0.471270063,1826686,6385,143928,352354304,2
