timestamp,msgr_recv_bytes,msgr_send_bytes,msgr_recv_messages,msgr_send_messages,mds_request,mds_reply,mds_reply_latency_s,getattr_latency_s,mkdir_latency_s,mds_journal_latency_s,objecter_op_latency_s,objecter_send_bytes,objecter_ops,mds_rss_bytes,mds_heap_bytes,sessions_open
"2025-11-04T12:24:17+00:00",11432250,11006872,29298,12475,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,141868,350257152,2
"2025-11-04T12:24:17+00:00",11432748,11006872,29299,12475,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,141868,350257152,2
"2025-11-04T12:24:18+00:00",11433364,11006990,29301,12476,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,141868,350257152,2
"2025-11-04T12:24:28+00:00",11444258,11013604,29325,12482,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,141868,350257152,2
"2025-11-04T12:24:28+00:00",11445254,11013604,29327,12482,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,141868,350257152,2
"2025-11-04T12:24:29+00:00",11445254,11015892,29327,12483,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,141868,350257152,2
"2025-11-04T12:24:39+00:00",11455796,11022506,29350,12489,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,141868,350257152,2
"2025-11-04T12:24:40+00:00",11457980,11022506,29355,12489,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,141868,350257152,2
"2025-11-04T12:24:41+00:00",11457980,11022506,29355,12489,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,141868,350257152,2
"2025-11-04T12:24:51+00:00",11468794,11029120,29379,12495,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,141868,350257152,2
"2025-11-04T12:24:51+00:00",11469790,11029120,29381,12495,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,141868,350257152,2
"2025-11-04T12:24:52+00:00",11469790,11029120,29381,12495,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,141868,350257152,2
"2025-11-04T12:25:02+00:00",11480948,11035212,29406,12501,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,141868,350257152,2
"2025-11-04T12:25:03+00:00",11481446,11035212,29407,12501,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,141868,350257152,2
"2025-11-04T12:25:03+00:00",11481718,11035852,29408,12502,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,141868,350257152,2
"2025-11-04T12:25:13+00:00",11493218,11041708,29432,12506,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,141868,350257152,2
"2025-11-04T12:25:14+00:00",11493218,11043996,29432,12507,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,142132,350257152,2
"2025-11-04T12:25:14+00:00",11493716,11043996,29433,12507,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,142132,350257152,2
"2025-11-04T12:25:24+00:00",11505226,11050728,29459,12514,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,142132,350257152,2
"2025-11-04T12:25:25+00:00",11505226,11050728,29459,12514,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,142132,350257152,2
"2025-11-04T12:25:25+00:00",11505724,11050728,29460,12514,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,142132,350257152,2
"2025-11-04T12:25:36+00:00",11516998,11057224,29484,12519,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,142088,350257152,2
"2025-11-04T12:25:36+00:00",11516998,11057224,29484,12519,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,142088,350257152,2
"2025-11-04T12:25:36+00:00",11517496,11057224,29485,12519,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,142088,350257152,2
"2025-11-04T12:25:47+00:00",11529650,11063956,29512,12526,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,142088,350257152,2
"2025-11-04T12:25:48+00:00",11529650,11063956,29512,12526,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,142088,350257152,2
"2025-11-04T12:25:49+00:00",11530646,11066244,29514,12527,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,142088,350257152,2
"2025-11-04T12:25:59+00:00",11541300,11072858,29538,12533,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,142088,350257152,2
"2025-11-04T12:25:59+00:00",11542070,11072858,29540,12533,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,142088,350257152,2
"2025-11-04T12:26:00+00:00",11542568,11072858,29541,12533,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,142088,350257152,2
"2025-11-04T12:26:10+00:00",11553350,11178896,29565,12539,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,142088,350257152,2
"2025-11-04T12:26:10+00:00",11554346,11178896,29567,12539,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,142088,350257152,2
"2025-11-04T12:26:11+00:00",11554346,11178896,29567,12539,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,142088,350257152,2
"2025-11-04T12:26:21+00:00",11565738,11185510,29592,12545,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,142088,350257152,2
"2025-11-04T12:26:22+00:00",11566236,11185510,29593,12545,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,142088,350257152,2
"2025-11-04T12:26:22+00:00",11566236,11185510,29593,12545,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,142088,350257152,2
"2025-11-04T12:26:32+00:00",11578126,11192124,29619,12551,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,142088,350257152,2
"2025-11-04T12:26:33+00:00",11578126,11192124,29619,12551,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,142088,350257152,2
"2025-11-04T12:26:33+00:00",11578126,11192124,29619,12551,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,142088,350257152,2
"2025-11-04T12:26:43+00:00",11588964,11198856,29644,12558,120,120,0.004881361,0.000743695,0.002955372,3.611912705,0.471260254,1798169,6376,142088,350257152,2
