timestamp,msgr_recv_bytes,msgr_send_bytes,msgr_recv_messages,msgr_send_messages,mds_request,mds_reply,mds_reply_latency_s,getattr_latency_s,mkdir_latency_s,mds_journal_latency_s,objecter_op_latency_s,objecter_send_bytes,objecter_ops,mds_rss_bytes,mds_heap_bytes,sessions_open
"2025-11-11T20:07:05+01:00",53982084923634,25397314332846,12483013662,9127884257,7773271247,7773271240,0.000794287,0.003249195,0.001216072,0.005003069,0.002211253,943277361396,472412467,5200620,248096,941
"2025-11-11T20:07:05+01:00",53982085230705,25397315008289,12483014610,9127884840,7773271823,7773271816,0.000794287,0.003249195,0.001216072,0.005003069,0.002211253,943277363156,472412468,5200620,248096,941
"2025-11-11T20:07:06+01:00",53982085436534,25397315586006,12483015286,9127885331,7773272297,7773272289,0.000794287,0.003249195,0.001216072,0.005003069,0.002211253,943277379056,472412469,5200620,248096,941
"2025-11-11T20:07:16+01:00",53982130939046,25397374800311,12483058769,9127919308,7773304049,7773304042,0.000794284,0.003249192,0.001216072,0.005003064,0.002211254,943279452499,472412978,5197192,248096,947
"2025-11-11T20:07:16+01:00",53982131098051,25397375405720,12483059343,9127919829,7773304550,7773304543,0.000794284,0.003249192,0.001216072,0.005003064,0.002211254,943279464841,472412980,5197192,248096,947
"2025-11-11T20:07:16+01:00",53982131221504,25397375908491,12483059799,9127920259,7773304964,7773304957,0.000794284,0.003249192,0.001216072,0.005003064,0.002211254,943279470494,472412981,5197192,248096,947
"2025-11-11T20:07:26+01:00",53982165605232,25397415589537,12483106223,9127957379,7773340564,7773340557,0.000794281,0.003249192,0.001216072,0.005003061,0.002211255,943281271277,472413383,5157768,248096,945
"2025-11-11T20:07:26+01:00",53982165696735,25397416006802,12483106563,9127957715,7773340893,7773340886,0.000794281,0.003249192,0.001216072,0.005003061,0.002211255,943281284595,472413385,5157768,248096,945
"2025-11-11T20:07:26+01:00",53982165808742,25397416433695,12483106959,9127958071,7773341244,7773341237,0.000794281,0.003249192,0.001216072,0.005003061,0.002211255,943281284595,472413385,5157768,248096,945
"2025-11-11T20:07:36+01:00",53982209873773,25397464066929,12483160938,9128002278,7773383327,7773383320,0.000794277,0.003249190,0.001216071,0.005003057,0.002211256,943283287709,472413807,5146776,248096,941
"2025-11-11T20:07:36+01:00",53982210207560,25397464917340,12483162001,9128003035,7773384011,7773384004,0.000794277,0.003249190,0.001216071,0.005003057,0.002211256,943283342321,472413814,5146776,248096,941
"2025-11-11T20:07:37+01:00",53982211760797,25397465583025,12483162734,9128003609,7773384572,7773384565,0.000794277,0.003249190,0.001216071,0.005003057,0.002211256,943283350107,472413818,5146776,248096,941
"2025-11-11T20:07:47+01:00",53982248513363,25397509479711,12483213087,9128045299,7773423389,7773423382,0.000794274,0.003249187,0.001216071,0.005003055,0.002211257,943285367741,472414332,5126952,248096,941
