event_id,start_ts,end_ts,duration_s,phase_mix,n_points,metrics_top,max_abs_z,metrics_count,reasoning,severity,label
1,2025-11-04T11:50:37+00:00,2025-11-04T11:50:49+00:00,12.0,{'base': 4},4,objecter_op_latency_s_resid:13.0:up;objecter_send_bytes_rate_resid:13.0:up;mds_journal_latency_s_resid:10.4:down;objecter_ops_rate_resid:9.7:up;mds_rss_bytes_resid:0.3:down;mds_heap_bytes_resid:0.2:down,12.957536939348381,4,widespread latency elevation vs baseline; rate/throughput shift vs baseline; resource pressure (memory/sessions),0.46499999999999997,moderate
2,2025-11-04T12:11:45+00:00,2025-11-04T12:12:07+00:00,22.0,{'stress': 9},9,mds_journal_latency_s_resid:52.6:down;objecter_op_latency_s_resid:14.8:down;objecter_ops_rate_resid:10.1:up;mds_rss_bytes_resid:6.2:up;objecter_send_bytes_rate_resid:2.3:up;mds_heap_bytes_resid:0.1:up,52.56016115661696,9,widespread latency elevation vs baseline; rate/throughput shift vs baseline; resource pressure (memory/sessions),0.5920833333333333,moderate
3,2025-11-04T12:47:22+00:00,2025-11-04T12:47:46+00:00,24.0,{'stress': 6},6,objecter_ops_rate_resid:16.1:up;mds_journal_latency_s_resid:10.1:down;objecter_op_latency_s_resid:3.5:down;objecter_send_bytes_rate_resid:3.4:up;mds_rss_bytes_resid:0.2:down;mds_heap_bytes_resid:0.2:down,16.128725473478127,6,widespread latency elevation vs baseline; rate/throughput shift vs baseline; resource pressure (memory/sessions),0.5425,moderate
4,2025-11-04T13:23:46+00:00,2025-11-04T13:24:09+00:00,23.0,{'stress': 9},9,objecter_op_latency_s_resid:25.9:up;objecter_ops_rate_resid:16.8:up;objecter_send_bytes_rate_resid:9.7:up;mds_journal_latency_s_resid:7.1:down;mds_rss_bytes_resid:0.3:down;mds_heap_bytes_resid:0.2:down,25.856887345422262,8,widespread latency elevation vs baseline; rate/throughput shift vs baseline; resource pressure (memory/sessions),0.5766666666666667,moderate
