timestamp,phase,msgr_recv_bytes_rate,msgr_send_bytes_rate,msgr_recv_messages_rate,msgr_send_messages_rate,mds_request_rate,mds_reply_rate,objecter_send_bytes_rate,objecter_ops_rate,mds_reply_latency_s,getattr_latency_s,mkdir_latency_s,mds_journal_latency_s,objecter_op_latency_s,mds_rss_bytes,mds_heap_bytes,sessions_open,msgr_recv_bytes_rate_ewm,msgr_recv_bytes_rate_resid,msgr_send_bytes_rate_ewm,msgr_send_bytes_rate_resid,msgr_recv_messages_rate_ewm,msgr_recv_messages_rate_resid,msgr_send_messages_rate_ewm,msgr_send_messages_rate_resid,mds_request_rate_ewm,mds_request_rate_resid,mds_reply_rate_ewm,mds_reply_rate_resid,objecter_send_bytes_rate_ewm,objecter_send_bytes_rate_resid,objecter_ops_rate_ewm,objecter_ops_rate_resid,mds_reply_latency_s_ewm,mds_reply_latency_s_resid,getattr_latency_s_ewm,getattr_latency_s_resid,mkdir_latency_s_ewm,mkdir_latency_s_resid,mds_journal_latency_s_ewm,mds_journal_latency_s_resid,objecter_op_latency_s_ewm,objecter_op_latency_s_resid,mds_rss_bytes_ewm,mds_rss_bytes_resid,mds_heap_bytes_ewm,mds_heap_bytes_resid,sessions_open_ewm,sessions_open_resid,iforest_score,z_anom_count,z_norm,iforest_norm,hybrid_score,z_msgr_recv_bytes_rate_resid,z_msgr_send_bytes_rate_resid,z_msgr_recv_messages_rate_resid,z_msgr_send_messages_rate_resid,z_mds_request_rate_resid,z_mds_reply_rate_resid,z_objecter_send_bytes_rate_resid,z_objecter_ops_rate_resid,z_mds_reply_latency_s_resid,z_getattr_latency_s_resid,z_mkdir_latency_s_resid,z_mds_journal_latency_s_resid,z_objecter_op_latency_s_resid,z_mds_rss_bytes_resid,z_mds_heap_bytes_resid,z_sessions_open_resid,z_max_abs
2025-11-04 11:46:57+00:00,base,,,,,,,,,0.004859013,0.000743695,0.002955372,3.798557723,0.471760163,139004,348160000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15813784195313418,0,0.0,0.09506164844239284,0.03802465937695714,,,,,,,,,,,,,,,,,
2025-11-04 11:46:58+00:00,base,498.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.004859013,0.000743695,0.002955372,3.798557723,0.471760163,139004,348160000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15813784195313418,0,0.0,0.09506164844239284,0.03802465937695714,,,,,,,,,,,,,,,,,
2025-11-04 11:46:58+00:00,base,,,,,,,,,0.004859013,0.000743695,0.002955372,3.798557723,0.471760163,139004,348160000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15813784195313418,0,0.0,0.09506164844239284,0.03802465937695714,,,,,,,,,,,,,,,,,
2025-11-04 11:47:08+00:00,base,982.2,655.0,2.3,0.5,0.0,0.0,0.0,0.0,0.004859013,0.000743695,0.002955372,3.798557723,0.471760163,139004,348160000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15813784195313418,0,0.0,0.09506164844239284,0.03802465937695714,,,,,,,,,,,,,,,,,
2025-11-04 11:47:08+00:00,base,inf,inf,inf,inf,,,,,0.004859013,0.000743695,0.002955372,3.798557723,0.471760163,139004,348160000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15813784195313418,0,0.0,0.09506164844239284,0.03802465937695714,,,,,,,,,,,,,,,,,
2025-11-04 11:47:09+00:00,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004859013,0.000743695,0.002955372,3.798557723,0.471760163,139004,348160000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15813784195313418,0,0.0,0.09506164844239284,0.03802465937695714,,,,,,,,,,,,,,,,,
2025-11-04 11:47:19+00:00,base,974.2,587.8,2.3,0.5,0.0,0.0,0.0,0.0,0.004859013,0.000743695,0.002955372,3.798557723,0.471760163,139004,348160000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15813784195313418,0,0.0,0.09506164844239284,0.03802465937695714,,,,,,,,,,,,,,,,,
2025-11-04 11:47:19+00:00,base,inf,inf,inf,inf,,,,,0.004859013,0.000743695,0.002955372,3.798557723,0.471760163,139004,348160000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15813784195313418,0,0.0,0.09506164844239284,0.03802465937695714,,,,,,,,,,,,,,,,,
2025-11-04 11:47:20+00:00,base,498.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.004859013,0.000743695,0.002955372,3.798557723,0.471760163,139004,348160000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15813784195313418,0,0.0,0.09506164844239284,0.03802465937695714,,,,,,,,,,,,,,,,,
2025-11-04 11:47:31+00:00,base,975.6363636363636,581.8181818181819,2.272727272727273,0.45454545454545453,0.0,0.0,0.0,0.0,0.004859013,0.000743695,0.002955372,3.798557723,0.471760163,139004,348160000,2,,,,,,,,,,,,,,,,,0.004859013,0.0,0.000743695,0.0,0.002955372,0.0,3.798557723,0.0,0.471760163,0.0,139004.0,0.0,348160000.0,0.0,2.0,0.0,-0.20370165125684098,0,0.0,0.0,0.0,,,,,,,,,,,,0.18834512938023765,-0.10855543922132324,-0.33719982506398305,-0.15977664785937293,,0.33719982506398305
