event_id,start_ts,end_ts,duration_s,phase_mix,n_points,metrics_top,max_abs_z,metrics_count,reasoning,severity,label
5,2025-11-12T00:41:00+00:00,2025-11-12T00:41:11+00:00,11.0,{'stress': 3},3,mkdir_latency_s_resid:7.4:up;mds_journal_latency_s_resid:3.9:up;mds_reply_latency_s_resid:3.5:up;getattr_latency_s_resid:1.9:up;sessions_open_resid:1.1:down;mds_rss_bytes_resid:0.6:down;objecter_op_latency_s_resid:0.3:up,7.393112369920308,3,widespread latency elevation vs baseline; resource pressure (memory/sessions),0.4626995585768725,moderate
7,2025-11-12T01:00:45+00:00,2025-11-12T01:00:55+00:00,10.0,{'stress': 2},2,mds_rss_bytes_resid:7.4:up;mkdir_latency_s_resid:5.6:up;sessions_open_resid:3.8:down;mds_reply_latency_s_resid:3.3:up;mds_journal_latency_s_resid:1.6:up;getattr_latency_s_resid:1.4:up;objecter_op_latency_s_resid:0.8:down,7.3749702913810955,2,widespread latency elevation vs baseline; resource pressure (memory/sessions),0.4488012505879746,moderate
